Alpha (degrees),C_L,C_D,C_M
-5.00,-1.077133370153,0.133483118412,0.178847369779
-4.90,-1.064346487730,0.130156254019,0.176342314835
-4.80,-1.050972962759,0.126795664878,0.173625532223
-4.70,-1.036792967349,0.123375363603,0.170601533389
-4.60,-1.022393575867,0.119966292724,0.167476355491
-4.50,-1.007772519065,0.116575876636,0.164289533745
-4.40,-0.993794797899,0.113313112086,0.161414571566
-4.30,-0.980135089120,0.110146732413,0.158740543543
-4.20,-0.965707808683,0.106934122449,0.155804032643
-4.10,-0.950461055203,0.103675421583,0.152585839084
-4.00,-0.934681967223,0.100402427474,0.149190087997
-3.90,-0.918521920061,0.097141054573,0.145694114574
-3.80,-0.902033229067,0.093899249319,0.142121502134
-3.70,-0.885225075604,0.090678330811,0.138468289561
-3.60,-0.867912964157,0.087461504687,0.134678805675
-3.50,-0.850226139434,0.084263888619,0.130797358936
-3.40,-0.831936489439,0.081068518077,0.126755209337
-3.30,-0.811574166713,0.077711546258,0.121973779885
-3.20,-0.791140203341,0.074406748961,0.117245915023
-3.10,-0.773646458309,0.071482770595,0.113716353478
-3.00,-0.753569082420,0.068371629008,0.109355145070
-2.90,-0.733122116352,0.065300027741,0.104950350266
-2.80,-0.712171854000,0.062277737755,0.100513281348
-2.70,-0.690864534439,0.059274719450,0.095981060290
-2.60,-0.668799035600,0.056274442369,0.091280415406
-2.50,-0.645393704377,0.053234515365,0.086207175648
-2.40,-0.621043612344,0.050198770256,0.081016036227
-2.30,-0.599234731408,0.047467155568,0.076779660620
-2.20,-0.575462737762,0.044663137183,0.072062145630
-2.10,-0.551233851089,0.041914534314,0.067334269372
-2.00,-0.526455381403,0.039218584332,0.062580360448
-1.90,-0.500454141583,0.036527717909,0.057601983347
-1.80,-0.473524937802,0.033880364988,0.052634693003
-1.70,-0.449787005217,0.031556521324,0.048730052548
-1.60,-0.424162969683,0.029208370161,0.044485768427
-1.50,-0.398357524111,0.026948553457,0.040359619910
-1.40,-0.371337420635,0.024712519085,0.036077942664
-1.30,-0.342714588314,0.022515251920,0.031758211412
-1.20,-0.318683639503,0.020675770404,0.028724124687
-1.10,-0.292149077539,0.018815692810,0.025311497887
-1.00,-0.264961930181,0.017031323596,0.021930209871
-0.90,-0.237732900288,0.015368342338,0.018810254726
-0.80,-0.212404716140,0.013939500044,0.016397422267
-0.70,-0.185534682500,0.012595386672,0.013898756737
-0.60,-0.158543324344,0.011404836955,0.011535946922
-0.50,-0.132025787817,0.010407852338,0.009399714354
-0.40,-0.105216654940,0.009615772580,0.007380073564
-0.30,-0.078606472477,0.009016672598,0.005454920302
-0.20,-0.052533202994,0.008594100304,0.003631596253
-0.10,-0.026613972583,0.008346168700,0.001853276225
0.00,0.000000000000,0.007550586472,-0.000000000000
-0.00,0.000000000000,0.008266265434,0.000000000000
0.10,0.026613972583,0.008346168700,-0.001853276225
0.20,0.052533202994,0.008594100304,-0.003631596253
0.30,0.078606472477,0.009016672598,-0.005454920302
0.40,0.105216654940,0.009615772580,-0.007380073564
0.50,0.132025787817,0.010407852338,-0.009399714354
0.60,0.158543324344,0.011404836955,-0.011535946922
0.70,0.185534682500,0.012595386672,-0.013898756737
0.80,0.212404716140,0.013939500044,-0.016397422267
0.90,0.237732900288,0.015368342338,-0.018810254726
1.00,0.264961930181,0.017031323596,-0.021930209872
1.10,0.292149077539,0.018815692810,-0.025311497887
1.20,0.318683639503,0.020675770404,-0.028724124687
1.30,0.342714588314,0.022515251920,-0.031758211412
1.40,0.371337420635,0.024712519085,-0.036077942664
1.50,0.398357524111,0.026948553457,-0.040359619910
1.60,0.424162969683,0.029208370161,-0.044485768427
